是 ---13031
有 ---3500
说 ---2975
来 ---2818
去 ---2759
要 ---2345
听 ---2271
到 ---2050
说道 ---1763
见 ---1751
叫 ---1416
想 ---1228
知道 ---960
出来 ---869
不知 ---840
只见 ---832
能 ---823
便是 ---812
笑 ---809
杀 ---806
可 ---803
出 ---790
死 ---753
走 ---747
打 ---729
无 ---722
看 ---658
派 ---656
瞧 ---647
倒 ---639
如 ---637
会 ---619
不能 ---588
做 ---565
没有 ---534
起来 ---533
请 ---529
没 ---520
说话 ---516
起 ---492
见到 ---484
吃 ---483
不会 ---469
伸手 ---460
使 ---446
待 ---445
知 ---412
跟著 ---408
不可 ---400
觉 ---399
保定 ---395
包不同 ---391
站 ---385
掌 ---375
出去 ---362
帮主 ---356
问 ---348
让 ---339
即 ---335
听到 ---332
出手 ---321
受 ---311
喝道 ---290
说著 ---288
忙 ---287
帮 ---274
不肯 ---272
找 ---270
骂 ---248
伤 ---248
放 ---247
救 ---246
不到 ---244
觉得 ---241
来到 ---235
抓 ---229
著 ---220
想到 ---220
怕 ---219
不住 ---219
拿 ---212
教 ---210
抓住 ---210
点头 ---207
像 ---207
答应 ---205
誉 ---204
惊 ---203
还有 ---199
生死 ---195
想起 ---195
不得 ---192
起身 ---190
就算 ---188
实在 ---185
不用 ---185
转 ---182
看来 ---182
定 ---181
哼 ---181
跳 ---179
送 ---177
摇头 ---177
愿 ---176
住 ---173
撞 ---172
瞧瞧 ---171
作 ---167
不见 ---167
大叫 ---165
呆 ---165
令 ---165
扑 ---164
无比 ---161
干 ---161
怪 ---159
喜欢 ---159
怔 ---156
姓 ---155
吓 ---154
不成 ---154
奇怪 ---153
射 ---150
尽 ---149
开 ---148
转身 ---147
取 ---147
发出 ---147
练 ---145
取出 ---145
决计 ---145
回来 ---143
咬 ---143
离 ---141
拍 ---140
拉 ---139
是否 ---138
带 ---138
坐在 ---136
解药 ---134
掷 ---134
成 ---132
忍不住 ---131
回去 ---131
急 ---128
露出 ---127
看到 ---127
可惜 ---127
瞧著 ---126
喜 ---126
退 ---125
向来 ---125
砍 ---124
斗 ---124
进 ---123
落 ---123
求 ---123
喂 ---123
学 ---122
听见 ---122
追 ---121
望 ---121
叫做 ---121
伸出 ---121
伸 ---121
得到 ---119
动 ---119
走到 ---118
提 ---118
进来 ---117
得罪 ---117
害怕 ---117
只得 ---117
要知 ---116
冲 ---116
提起 ---115
破 ---114
回 ---112
感 ---111
哭 ---111
好生 ---109
乃 ---108
爱 ---107
坐 ---107
只道 ---107
入 ---107
进去 ---106
报仇 ---106
受伤 ---106
发 ---106
符 ---105
躲 ---104
回到 ---104
听得 ---103
叹 ---103
接 ---102
饶 ---101
抢 ---101
转头 ---100
欢喜 ---100
枯荣 ---100
摔 ---100
回头 ---100
不了 ---100
逃走 ---99
能够 ---99
相救 ---99
磕头 ---98
抱 ---98
回答 ---98
走出 ---97
拜 ---97
奔 ---97
听说 ---97
放在 ---96
说不出 ---94
解开 ---94
斜 ---94
摸 ---94
招 ---94
逼 ---93
踢 ---93
不想 ---93
传 ---92
转过 ---91
盼 ---91
无礼 ---90
害死 ---89
行 ---88
穿 ---88
敢 ---88
刺 ---88
颤 ---87
明知 ---87
震 ---86
称 ---86
断 ---86
摇 ---85
推 ---85
念 ---85
吩咐 ---85
遇到 ---84
打死 ---84
得紧 ---84
害 ---84
相助 ---83
沉吟 ---83
捉 ---83
恨 ---83
为难 ---83
想来 ---82
带头 ---82
显是 ---81
指著 ---81
写 ---81
相见 ---79
生怕 ---79
忘 ---79
呼吸 ---79
变成 ---79
施主 ---78
挥 ---78
生 ---77
爬 ---77
擒 ---77
变 ---77
加 ---77
决 ---77
上 ---77
行走 ---76
应道 ---76
娶 ---76
骗 ---74
避开 ---74
解 ---74
抱著 ---74
合 ---73
闪避 ---72
逃 ---72
烧 ---72
放开 ---72
攻 ---72
呼 ---72
闻 ---71
胜 ---71
挡 ---71
懂 ---71
纵身 ---70
算 ---70
劈 ---70
下手 ---70
颇为 ---69
离开 ---69
睡 ---69
相距 ---69
成为 ---69
已有 ---69
响 ---69
停 ---69
陪 ---68
说完 ---68
罢 ---68
料想 ---68
反手 ---68
跪 ---67
抬头 ---67
完 ---67
苦笑 ---66
磕 ---66
画 ---66
找到 ---66
难过 ---65
转念 ---65
躬身 ---65
来历 ---65
料到 ---65
岂能 ---65
包 ---65
骑 ---64
伏 ---64
不著 ---64
不妨 ---64
赴 ---63
翻 ---63
犹如 ---63
拉著 ---63
得知 ---63
夺 ---63
碰到 ---62
瞧去 ---62
眼看 ---62
搭 ---62
掉 ---62
感激 ---62
奔到 ---62
闻到 ---61
走近 ---61
犯 ---61
有如 ---61
收 ---61
好笑 ---61
佩服 ---61
下马 ---61
飞 ---60
跪下 ---60
说来 ---60
放心 ---60
想要 ---60
叫作 ---60
闪 ---59
拂 ---59
带著 ---59
对手 ---59
举起 ---59
醒 ---58
绝无 ---58
离去 ---58
碰 ---58
直到 ---58
散 ---58
挣扎 ---58
指 ---58
走进 ---57
走上 ---57
说起 ---57
要紧 ---57
站著 ---57
横 ---57
扯 ---57
寻 ---57
出言 ---57
像是 ---57
现出 ---56
扶 ---56
尚有 ---56
劝 ---56
转过身 ---55
身穿 ---55
见识 ---55
脱身 ---55
服侍 ---55
放下 ---55
推开 ---55
挖 ---55
讲 ---54
戳 ---54
呼呼 ---54
发觉 ---54
分 ---54
聚 ---53
探 ---53
担心 ---53
惊呼 ---53
加害 ---53
交 ---53
随 ---52
识 ---52
认得 ---52
肯 ---52
窜 ---52
留下 ---52
望著 ---52
拍手 ---52
感到 ---52
吹 ---52
助 ---52
出于 ---52
使得 ---52
传来 ---52
不理 ---52
身受 ---51
跌 ---51
自称 ---51
破解 ---51
接连 ---51
岂知 ---51
失 ---51
向著 ---51
吐 ---51
后退 ---51
占 ---51
勉强 ---51
决无 ---51
免得 ---51
错 ---50
跟随 ---50
赶到 ---50
袭 ---50
算是 ---50
相信 ---50
沉 ---50
是非 ---50
弄 ---50
开去 ---50
凝视 ---50
了不起 ---50
上乘 ---50
遇上 ---49
还手 ---49
躺 ---49
背 ---49
继续 ---49
相似 ---49
滚 ---49
望去 ---49
服 ---49
拍出 ---49
得意 ---49
喝酒 ---49
吸 ---49
隔 ---48
缩 ---48
睁 ---48
相斗 ---48
率领 ---48
掌心 ---48
换 ---48
戴 ---48
开来 ---48
修为 ---48
踏 ---47
花 ---47
相 ---47
擦 ---47
出现 ---47
负 ---46
自知 ---46
纵 ---46
树 ---46
属下 ---46
交给 ---46
钻 ---45
还道 ---45
还礼 ---45
记得 ---45
毙命 ---45
歇 ---45
有意 ---45
显得 ---45
握住 ---45
奉 ---45
加上 ---45
靠 ---44
