虚竹 ---1596
师父 ---804
姑娘 ---722
身子 ---704
声音 ---630
星宿 ---594
弟子 ---581
众人 ---551
心想 ---544
大理 ---529
丐帮 ---496
功夫 ---487
内力 ---482
女子 ---439
少林 ---430
性命 ---407
少女 ---362
双手 ---358
兄弟 ---347
鳄神 ---334
爹爹 ---331
大师 ---326
对方 ---305
问道 ---281
敌人 ---274
右手 ---273
先生 ---264
段誉 ---263
汉子 ---257
高手 ---245
大哥 ---244
无法 ---243
全身 ---243
方丈 ---241
公子 ---236
手掌 ---233
适才 ---227
不料 ---225
人家 ---222
僧人 ---218
眼见 ---216
兵刃 ---213
低声 ---213
眼睛 ---208
功力 ---208
手指 ---204
女童 ---203
主人 ---203
穴道 ---201
心道 ---199
声响 ---199
妈妈 ---192
表哥 ---189
公主 ---186
恶人 ---185
武士 ---182
父亲 ---180
夫人 ---179
儿子 ---178
身形 ---177
小子 ---176
长剑 ---173
神医 ---173
手臂 ---173
人物 ---172
神色 ---171
朋友 ---170
皇帝 ---169
动手 ---168
内功 ---157
神剑 ---156
口气 ---156
老者 ---155
大家 ---153
师弟 ---152
姊姊 ---151
模样 ---150
肩头 ---149
哲罗星 ---149
姊夫 ---148
名字 ---147
前辈 ---145
绝技 ---143
声道 ---142
脸色 ---141
毒蛇 ---139
指点 ---135
人人 ---135
鲜血 ---133
真气 ---133
群豪 ---131
群雄 ---130
用力 ---130
衣衫 ---129
黑衣 ---128
掌力 ---128
神情 ---126
大事 ---124
孩儿 ---123
阁下 ---122
地方 ---117
时辰 ---116
长老 ---112
掌门人 ---111
手腕 ---111
脚步 ---109
招数 ---109
青袍 ---106
暗器 ---106
武学 ---104
杀人 ---103
一阳指 ---103
法子 ---102
眼光 ---101
相貌 ---101
皇上 ---101
大喜 ---101
老人 ---99
摘星子 ---99
剑法 ---99
生平 ---97
无人 ---97
徒儿 ---97
小人 ---97
目光 ---96
汉人 ---96
规矩 ---95
时候 ---95
孩子 ---95
衣袖 ---94
父母 ---93
太子 ---93
主意 ---93
老人家 ---92
母亲 ---92
陛下 ---91
手法 ---90
性子 ---90
大法 ---90
背心 ---89
身份 ---88
男子 ---88
女儿 ---88
天因 ---88
一剑 ---86
贱人 ---85
仙子 ---85
百计 ---84
夫人道 ---84
双目 ---84
脑袋 ---83
女人 ---83
头顶 ---83
掌门 ---82
官兵 ---82
力道 ---82
事情 ---82
不平道人 ---81
宫女 ---80
腰间 ---79
夫妇 ---79
伤口 ---79
理会 ---78
智光 ---78
外人 ---77
物事 ---76
棋局 ---76
化功 ---76
姓段 ---75
妙极 ---75
小心 ---74
丈夫 ---73
钢杖 ---72
讯息 ---72
老子 ---72
无量 ---72
大厅 ---72
酒保 ---71
竹杖 ---71
情势 ---71
开口 ---71
神光 ---70
段誉身 ---70
单刀 ---70
一瞥 ---70
冰蚕 ---69
意思 ---68
号令 ---68
面具 ---67
行事 ---67
群僧 ---67
妹子 ---67
设法 ---66
脾气 ---66
妻子 ---66
中土 ---66
毒药 ---65
戒律 ---65
姊妹 ---65
右掌 ---64
半空 ---64
运气 ---63
精神 ---63
男人 ---63
匕首 ---63
茶花 ---62
本门 ---61
子弟 ---61
姥姥 ---61
变色 ---61
道理 ---60
药叉 ---60
缘根 ---60
父子 ---60
毒手 ---60
总算 ---60
心念 ---60
老贼 ---59
石壁 ---59
玄痛 ---59
对头 ---59
中年人 ---59
草丛 ---58
白衣 ---58
容貌 ---58
奶奶 ---58
大石 ---58
大丈夫 ---58
驸马 ---57
门人 ---57
段家 ---57
时分 ---57
念头 ---56
姑妈 ---56
小弟 ---55
客气 ---55
剧毒 ---55
矮子 ---54
百姓 ---54
火焰 ---54
情景 ---54
同门 ---54
双掌 ---54
伤心 ---54
人影 ---54
衣服 ---53
本领 ---53
劲力 ---53
力气 ---53
内息 ---53
铜镜 ---52
逍遥派 ---52
生气 ---52
师妹 ---52
身材 ---51
行礼 ---51
神态 ---51
灵子 ---51
岩石 ---51
岛主 ---51
双方 ---51
额头 ---50
泪水 ---50
低头 ---50
肌肤 ---49
经书 ---49
日子 ---49
心情 ---49
客道 ---49
大门 ---49
凝神 ---49
侄儿 ---49
道人 ---48
胖子 ---48
笑容 ---48
皇宫 ---48
毒虫 ---48
帮众 ---48
姓名 ---48
群丐 ---47
石屋 ---47
毒性 ---47
文字 ---47
心思 ---47
头发 ---47
地道 ---47
伤人 ---47
人杰 ---47
书呆子 ---47
神道 ---46
眉头 ---46
疼痛 ---46
少室 ---46
劲风 ---46
指力 ---45
形貌 ---45
布袋 ---45
将军 ---45
对准 ---45
坐骑 ---45
双臂 ---45
双腿 ---45
传授 ---45
一事 ---45
香气 ---44
身手 ---44
胸膛 ---44
有点 ---44
方位 ---44
敌手 ---44
银子 ---43
语气 ---43
蜈蚣 ---43
秘密 ---43
疑心 ---43
气息 ---43
威力 ---43
头颈 ---43
右臂 ---43
剧痛 ---43
全力 ---43
伤势 ---43
邪术 ---42
菊剑 ---42
老怪 ---42
笛声 ---42
有所 ---42
救人 ---42
思索 ---42
心意 ---42
弹琴 ---42
居士 ---42
尸身 ---42
婴儿 ---42
好人 ---42
叛军 ---42
先行 ---42
风流 ---41
身体 ---41
棋盘 ---41
斜眼 ---41
掌法 ---41
手段 ---41
情形 ---41
心神 ---41
尸体 ---41
名头 ---41
乘马 ---41
乘机 ---41
贤弟 ---40
红袍 ---40
笑声 ---40
甘心 ---40
渔人 ---40
恶斗 ---40
图谱 ---40
医治 ---40
出尘子 ---40
冰窖 ---40
骑兵 ---39
长矛 ---39
苦头 ---39
树枝 ---39
大树 ---39
声名 ---39
食指 ---38
铁罩 ---38
竹子 ---38
石室 ---38
皇位 ---38
旁观 ---38
情状 ---38
对面 ---38
学会 ---38
大胆 ---38
图形 ---38
商议 ---38
仇人 ---38
飞身 ---37
门派 ---37
身世 ---37
舌头 ---37
老爷 ---37
神气 ---37
皇后 ---37
毒箭 ---37
步法 ---37
手脚 ---37
心事 ---37
山谷 ---37
好汉 ---37
圈子 ---37
剑尖 ---37
书信 ---37
一带 ---37
面目 ---36
胆子 ---36
神仙 ---36
瑶端 ---36
机关 ---36
情知 ---36
寒毒 ---36
家伙 ---36
女真人 ---36
嘴巴 ---36
商量 ---36
咽喉 ---36
后心 ---36
余地 ---36
住口 ---36
颜色 ---35
铁头人 ---35
部属 ---35
这番话 ---35
身法 ---35
罪过 ---35
石头 ---35
无力 ---35
教主 ---35
大夫 ---35
外号 ---35
声息 ---35
世间 ---35
领教 ---34
雪地 ---34
造诣 ---34
聋哑 ---34
纵马 ---34
眼色 ---34
男女 ---34
毒物 ---34
怒气 ---34
心愿 ---34
屋顶 ---34
小妹 ---34
双脚 ---34
刀法 ---34
内劲 ---34
僧道 ---34
一掌 ---34
铁头 ---33
见面 ---33
药物 ---33
脱险 ---33
耳朵 ---33
老前辈 ---33
破绽 ---33
眼泪 ---33
皱眉 ---33
榜文 ---33
机密 ---33
报讯 ---33
庄上 ---33
小指 ---33
