一般 ---424
厉害 ---343
不错 ---226
一惊 ---155
神功 ---146
容易 ---124
古怪 ---122
正要 ---111
著实 ---106
一晃 ---100
重伤 ---94
不同 ---93
轻功 ---89
幸好 ---76
不易 ---74
不久 ---74
寻常 ---72
正好 ---70
良久 ---66
深厚 ---64
糟糕 ---62
极大 ---60
清楚 ---58
最好 ---58
诧异 ---56
惭愧 ---56
重重 ---54
年轻 ---54
老大 ---53
重大 ---52
焦急 ---51
聪明 ---50
惊惶 ---47
便宜 ---47
不足 ---47
平平 ---46
威名 ---45
慈悲 ---43
可怖 ---40
迅捷 ---38
尴尬 ---38
危急 ---38
不小 ---38
善哉 ---37
一大 ---37
轻易 ---36
玄苦 ---36
浑厚 ---36
极乐 ---36
清脆 ---35
心惊 ---35
胆敢 ---34
惊异 ---34
巧妙 ---34
充满 ---34
卑鄙 ---33
不妙 ---33
玲珑 ---32
沉重 ---31
根本 ---31
有趣 ---30
无异 ---30
方始 ---30
惊讶 ---30
顽皮 ---29
柔和 ---29
不妥 ---29
聪辩 ---28
相功 ---28
温柔 ---28
丑陋 ---28
逍遥 ---27
特异 ---27
伤害 ---27
舒服 ---26
罕见 ---26
突觉 ---26
烦恼 ---26
潇洒 ---26
有心 ---26
高高 ---25
苦苦 ---25
紧急 ---25
惊奇 ---25
快乐 ---25
庄严 ---25
凶恶 ---25
不幸 ---25
不安 ---25
魁梧 ---24
辛苦 ---24
苦楚 ---24
痛快 ---24
气恼 ---24
无耻 ---24
惊慌 ---24
圆寂 ---24
响亮 ---24
充沛 ---24
不耐烦 ---24
细细 ---23
歉然 ---23
极重 ---23
恭谨 ---23
怪异 ---23
豪迈 ---22
苍老 ---22
笃诚 ---22
痛楚 ---22
热闹 ---22
平常 ---22
尖锐 ---22
威严 ---22
吃惊 ---22
倔强 ---22
艰难 ---21
狠辣 ---21
最大 ---21
方便 ---21
干净 ---21
不利 ---21
