在 ---43137
与 ---17554
被 ---13481
为 ---5100
对 ---4210
向 ---4205
以 ---3806
从 ---2912
给 ---2814
比 ---1885
于 ---1657
跟 ---1313
自 ---1114
用 ---1053
为了 ---946
至 ---813
对于 ---761
当 ---652
把 ---550
同 ---500
由 ---469
向着 ---458
因 ---344
凭 ---324
至于 ---310
按照 ---292
通过 ---289
关于 ---266
沿着 ---215
经过 ---214
除了 ---201
随着 ---190
针对 ---182
冲着 ---169
按 ---151
根 ---130
朝 ---115
当着 ---97
替 ---95
自从 ---92
除 ---77
据 ---74
凭借 ---61
经 ---59
对着 ---59
每当 ---56
往 ---54
依照 ---46
对了 ---44
根据 ---41
依据 ---40
顺着 ---39
朝着 ---23
凭着 ---22
随同 ---21
连着 ---21
